	BodyShapeI	Length	Environment	Habitat	DepthRangeShallow	DepthRangeDeep	ReproMode	Fertilization	RepGuild1
Channichthys mithridatis	elongated	37	saltwater	bathydemersal	250	310	NA	NA	NA
Channichthys panticapaei	elongated	40.20000076	saltwater	demersal	112	154	NA	NA	NA
Channichthys rhinoceratus	elongated	60	saltwater	demersal	1	750	dioecism	external	nonguarders
Channichthys richardsoni	elongated	NA	saltwater	demersal	126	310	NA	NA	NA
Channichthys rugosus	elongated	3	saltwater	demersal	NA	NA	dioecism	external	nonguarders
Channichthys velifer	elongated	49	saltwater	demersal	125	150	NA	NA	NA
Chanos chanos	elongated	180	saltwater/brack/fresh	benthopelagic	1	30	dioecism	external	nonguarders
Chascanopsetta lugubris	shortand/ordeep	40	saltwater	bathydemersal	60	3210	dioecism	external	nonguarders
Chasmodes bosquianus	elongated	15	saltwater/brack	demersal	1	30	dioecism	external	guarders
Chasmodes saburrae	elongated	10	saltwater/brack	demersal	0	6	dioecism	external	guarders
Chauliodus barbatus	elongated	19.79999924	saltwater	bathypelagic	NA	NA	NA	NA	NA
Chauliodus sloani	elongated	35	saltwater	bathypelagic	200	4700	dioecism	external	NA
Chaunacops coloratus	shortand/ordeep	19	saltwater	bathydemersal	1250	2000	NA	NA	NA
Chaunax fimbriatus	fusiform/normal	14	saltwater	bathydemersal	500	1985	NA	NA	NA
Chaunax flavomaculatus	shortand/ordeep	12.19999981	saltwater	benthopelagic	353	375	NA	NA	NA
Chaunax nudiventer	shortand/ordeep	16.60000038	saltwater	bathydemersal	282	1089	NA	NA	NA
Chaunax penicillatus	shortand/ordeep	28	saltwater	bathydemersal	343	658	NA	NA	NA
Chaunax pictus	shortand/ordeep	40	saltwater	bathydemersal	200	1000	NA	NA	NA
Chaunax reticulatus	shortand/ordeep	25.79999924	saltwater	bathydemersal	360	950	NA	NA	NA
Chaunax suttkusi	shortand/ordeep	26.70000076	saltwater	bathydemersal	220	1362	NA	NA	NA
Cheilinus abudjubbe	shortand/ordeep	21.79999924	saltwater	demersal	NA	10	dioecism	external	nonguarders
Cheilinus chlorourus	fusiform/normal	45	saltwater	reef-associated	1	30	dioecism	external	nonguarders
Cheilinus fasciatus	fusiform/normal	40	saltwater	reef-associated	4	60	dioecism	external	nonguarders
Cheilinus lunulatus	shortand/ordeep	50	saltwater	reef-associated	2	30	dioecism	external	nonguarders
Cheilinus oxycephalus	fusiform/normal	17	saltwater	reef-associated	1	40	dioecism	external	nonguarders
Cheilinus trilobatus	shortand/ordeep	45	saltwater/brack	reef-associated	1	30	dioecism	external	nonguarders
Cheilinus undulatus	fusiform/normal	229	saltwater	reef-associated	1	100	protogyny	external	nonguarders
Cheilio inermis	elongated	50	saltwater	reef-associated	1	30	dioecism	external	nonguarders
Cheilodactylus fasciatus	fusiform/normal	30	saltwater/brack	demersal	1	120	NA	NA	NA
Cheilodipterus arabicus	fusiform/normal	18	saltwater	reef-associated	3	25	dioecism	external	bearers
Cheilodipterus artus	shortand/ordeep	18.70000076	saltwater	reef-associated	3	158	dioecism	external	bearers
Cheilodipterus intermedius	elongated	20	saltwater	reef-associated	1	20	dioecism	external	bearers
Cheilodipterus isostigmus	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cheilodipterus lachneri	fusiform/normal	12	saltwater	reef-associated	NA	NA	dioecism	external	bearers
Cheilodipterus macrodon	shortand/ordeep	25	saltwater	reef-associated	0	40	dioecism	external	bearers
Cheilodipterus novemstriatus	fusiform/normal	8	saltwater	demersal	1	50	dioecism	external	bearers
Cheilodipterus parazonatus	elongated	6.099999905	saltwater	reef-associated	2	25	dioecism	external	bearers
Cheilodipterus persicus	fusiform/normal	15	saltwater	reef-associated	NA	NA	dioecism	external	bearers
Cheilodipterus quinquelineatus	fusiform/normal	13	saltwater	reef-associated	0	40	dioecism	external	bearers
Cheilodipterus singapurensis	elongated	18	saltwater	reef-associated	2	10	dioecism	external	bearers
Cheilopogon altipennis	elongated	38	saltwater	pelagic-neritic	0	NA	dioecism	external	nonguarders
Cheilopogon atrisignis	elongated	33	saltwater	pelagic-oceanic	0	10	dioecism	external	nonguarders
Cheilopogon californicus	elongated	38	saltwater	pelagic-neritic	0	NA	dioecism	external	nonguarders
Cheilopogon cyanopterus	elongated	40	saltwater	pelagic-oceanic	0	20	dioecism	external	nonguarders
Cheilopogon dorsomacula	elongated	23	saltwater	pelagic-neritic	0	20	dioecism	external	nonguarders
Cheilopogon furcatus	elongated	35	saltwater	pelagic-oceanic	0	20	dioecism	external	nonguarders
Cheilopogon heterurus	elongated	40	saltwater	pelagic-neritic	0	50	dioecism	external	nonguarders
Cheilopogon katoptron	elongated	18	saltwater	pelagic-neritic	0	20	dioecism	external	nonguarders
Cheilopogon melanurus	elongated	32	saltwater	pelagic-neritic	0	20	dioecism	external	nonguarders
Cheilopogon olgae	elongated	23.39999962	saltwater	pelagic-oceanic	0	NA	dioecism	external	nonguarders
Cheilopogon papilio	elongated	21	saltwater	pelagic-neritic	0	NA	dioecism	external	nonguarders
Cheilopogon pinnatibarbatus	elongated	40	saltwater	pelagic-neritic	0	10	dioecism	external	nonguarders
Cheilopogon rapanouiensis	elongated	30	saltwater	pelagic-neritic	0	20	dioecism	external	nonguarders
Cheilopogon spilonotopterus	elongated	38	saltwater	pelagic-oceanic	0	20	dioecism	external	nonguarders
Cheilopogon spilopterus	elongated	25	saltwater	pelagic-neritic	0	20	dioecism	external	nonguarders
Cheilopogon suttoni	elongated	30	saltwater	pelagic-oceanic	0	20	dioecism	external	nonguarders
Cheilopogon unicolor	elongated	38	saltwater	pelagic-neritic	0	10	dioecism	external	nonguarders
Cheilopogon xenopterus	elongated	NA	saltwater	pelagic-oceanic	0	NA	dioecism	external	nonguarders
Cheiloprion labiatus	shortand/ordeep	6	saltwater	reef-associated	1	3	dioecism	external	guarders
Cheimerius nufar	fusiform/normal	75	saltwater	reef-associated	20	300	dioecism	external	nonguarders
Chela cachius	fusiform/normal	9.600000381	brack/fresh	benthopelagic	NA	NA	NA	NA	NA
Chelidonichthys capensis	fusiform/normal	75	saltwater	demersal	10	390	NA	NA	NA
Chelidonichthys cuculus	fusiform/normal	70	saltwater	demersal	15	400	dioecism	external	nonguarders
Chelidonichthys kumu	elongated	60	saltwater/brack	demersal	1	200	NA	NA	NA
Chelidonichthys lastoviza	fusiform/normal	40	saltwater	demersal	10	150	NA	NA	NA
Chelidonichthys lucerna	elongated	82.80000305	saltwater	demersal	20	318	dioecism	external	nonguarders
Chelidonichthys obscurus	elongated	50.5	saltwater	demersal	20	170	NA	NA	NA
Chelidonichthys spinosus	fusiform/normal	40	saltwater	demersal	25	615	NA	NA	NA
Chelidoperca cerasina	fusiform/normal	14.81000042	saltwater	bathydemersal	245	338	NA	NA	NA
Chelidoperca hirundinacea	fusiform/normal	16.15999985	saltwater	demersal	80	200	protogyny	external	NA
Chelidoperca lecromi	elongated	13	saltwater	demersal	NA	300	NA	NA	NA
Chelidoperca margaritifera	elongated	5.130000114	saltwater	demersal	NA	118	NA	NA	NA
Chelidoperca microdon	fusiform/normal	9.350000381	saltwater	bathydemersal	260	305	NA	NA	NA
Chelidoperca pleurospilus	elongated	13	saltwater	demersal	NA	NA	NA	NA	NA
Chelidoperca stella	fusiform/normal	7.230000019	saltwater	reef-associated	58	66	NA	NA	NA
Chelidoperca tosaensis	fusiform/normal	8.279999733	saltwater	reef-associated	60	302	NA	NA	NA
Chelmon marginalis	shortand/ordeep	18	saltwater	reef-associated	1	30	dioecism	external	nonguarders
Chelmon rostratus	fusiform/normal	20	saltwater/brack	reef-associated	1	25	dioecism	external	nonguarders
Chelmonops curiosus	shortand/ordeep	26	saltwater	reef-associated	51	57	dioecism	external	nonguarders
Chelon auratus	fusiform/normal	61	saltwater/brack/fresh	pelagic-neritic	10	20	dioecism	external	nonguarders
Chelon dumerili	fusiform/normal	40	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Chelon labrosus	elongated	75	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Chelon ramada	fusiform/normal	70	saltwater/brack/fresh	pelagic-neritic	10	20	dioecism	external	nonguarders
Chelon richardsonii	fusiform/normal	40.5	saltwater/brack/fresh	demersal	NA	NA	dioecism	external	nonguarders
Chelon tricuspidens	fusiform/normal	75	saltwater/brack	pelagic-neritic	NA	NA	dioecism	external	nonguarders
Chelonodontops patoca	shortand/ordeep	38	saltwater/brack/fresh	reef-associated	4	60	dioecism	external	NA
Cherublemma emmelas	elongated	25	saltwater	bathydemersal	102	740	dioecism	external	nonguarders
Chiasmodon braueri	Elongated	4.400000095	saltwater	pelagic-oceanic	150	2326	NA	NA	NA
Chiasmodon niger	elongated	25	saltwater	pelagic-oceanic	700	2745	dioecism	external	nonguarders
Chiasmodon pluriradiatus	fusiform/normal	22.07999992	saltwater	pelagic-oceanic	230	1600	NA	NA	NA
Chilara taylori	eel-like	40.40000153	saltwater/brack	demersal	0	280	dioecism	external	nonguarders
Chiloconger dentatus	eel-like	30	saltwater	demersal	27	2198	dioecism	external	nonguarders
Chilomycterus antennatus	shortand/ordeep	38	saltwater	reef-associated	2	13	dioecism	external	nonguarders
Chilomycterus antillarum	shortand/ordeep	30	saltwater	reef-associated	1	44	dioecism	external	nonguarders
Chilomycterus reticulatus	shortand/ordeep	69.69999695	saltwater	reef-associated	20	100	dioecism	external	nonguarders
Chilomycterus schoepfii	shortand/ordeep	27.89999962	saltwater	reef-associated	1	11	dioecism	external	nonguarders
Chilomycterus spinosus	shortand/ordeep	28	saltwater/brack	demersal	70	190	dioecism	external	nonguarders
Chilorhinus platyrhynchus	eel-like	18.5	saltwater	demersal	7	200	NA	NA	NA
Chilorhinus suensonii	eel-like	18	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Chiloscyllium arabicum	elongated	62	saltwater	demersal	2	100	dioecism	internal(oviduct)	nonguarders
Chiloscyllium griseum	elongated	77	saltwater/brack	reef-associated	5	100	dioecism	internal(oviduct)	nonguarders
Chiloscyllium indicum	elongated	65	saltwater/brack/fresh	demersal	0	90	dioecism	internal(oviduct)	nonguarders
Chiloscyllium punctatum	elongated	132	saltwater	reef-associated	0	85	dioecism	internal(oviduct)	nonguarders
Chimaera compacta	elongated	NA	saltwater	bathydemersal	595	655	NA	NA	NA
Chimaera lignaria	elongated	142	saltwater	bathydemersal	400	1800	dioecism	internal(oviduct)	nonguarders
Chimaera notafricana	elongated	83.69999695	saltwater	bathydemersal	680	1000	NA	NA	NA
Chimaera ogilbyi	elongated	90.40000153	saltwater	bathydemersal	120	872	dioecism	internal(oviduct)	nonguarders
Chimaera phantasma	elongated	100	saltwater	bathydemersal	90	540	dioecism	internal(oviduct)	nonguarders
Chirocentrus dorab	elongated	100	saltwater/brack	reef-associated	0	120	NA	NA	NA
Chirocentrus nudus	elongated	100	saltwater	pelagic-neritic	0	150	NA	NA	NA
Chirodactylus brachydactylus	fusiform/normal	40	saltwater	reef-associated	0	240	NA	NA	NA
Chirodactylus grandis	shortand/ordeep	180	saltwater	demersal	0	150	NA	NA	NA
Chirodactylus jessicalenorum	fusiform/normal	50	saltwater	reef-associated	3	20	NA	NA	NA
Chirolophis ascanii	elongated	25	saltwater	benthopelagic	10	400	dioecism	external	guarders
Chironemus maculosus	fusiform/normal	35	saltwater	reef-associated	NA	NA	NA	NA	NA
Chironemus marmoratus	fusiform/normal	40	saltwater	reef-associated	0	30	NA	NA	NA
Chironemus microlepis	Elongated	NA	saltwater	demersal	NA	NA	NA	NA	NA
Chlidichthys bibulus	elongated	6.099999905	saltwater	reef-associated	8	11	NA	NA	NA
Chlidichthys cacatuoides	Elongated	3.720000029	saltwater	reef-associated	15	30	NA	NA	NA
Chlidichthys johnvoelckeri	elongated	6	saltwater	reef-associated	20	75	NA	NA	NA
Chlidichthys pembae	Elongated	5	saltwater	reef-associated	10	27	NA	NA	NA
Chlopsis apterus	eel-like	25	saltwater	demersal	80	130	NA	NA	NA
Chlopsis bicollaris	eel-like	20	saltwater	demersal	NA	NA	NA	NA	NA
Chlopsis bidentatus	eel-like	16.70000076	saltwater	bathydemersal	300	503	NA	NA	NA
Chlorophthalmus agassizi	elongated	40	saltwater/brack	bathydemersal	50	1000	truehermaphroditism	NA	nonguarders
Chlorophthalmus albatrossis	elongated	15	saltwater	bathydemersal	300	350	truehermaphroditism	NA	nonguarders
Chlorophthalmus atlanticus	elongated	25	saltwater	bathydemersal	240	270	NA	NA	NA
Chlorophthalmus mento	elongated	NA	saltwater	bathydemersal	384	523	truehermaphroditism	NA	nonguarders
Chlorophthalmus punctatus	elongated	20	saltwater	bathydemersal	NA	NA	NA	NA	NA
Chloroscombrus chrysurus	fusiform/normal	65	saltwater/brack	pelagic-neritic	0	110	dioecism	external	nonguarders
Chloroscombrus orqueta	fusiform/normal	30	saltwater/brack	benthopelagic	NA	NA	dioecism	external	nonguarders
Chlorurus atrilunula	fusiform/normal	30	saltwater	reef-associated	1	15	dioecism	external	nonguarders
Chlorurus bleekeri	shortand/ordeep	49	saltwater	reef-associated	3	35	dioecism	external	nonguarders
Chlorurus bowersi	elongated	40	saltwater	reef-associated	2	20	NA	NA	NA
Chlorurus capistratoides	fusiform/normal	40	saltwater	reef-associated	5	15	dioecism	external	nonguarders
Chlorurus cyanescens	fusiform/normal	50	saltwater	reef-associated	5	NA	dioecism	external	nonguarders
Chlorurus frontalis	elongated	50	saltwater	reef-associated	10	40	dioecism	external	nonguarders
Chlorurus gibbus	fusiform/normal	70	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Chlorurus japanensis	fusiform/normal	46.20000076	saltwater	reef-associated	1	20	dioecism	external	nonguarders
Chlorurus microrhinos	fusiform/normal	70	saltwater	reef-associated	1	50	dioecism	external	nonguarders
Chlorurus perspicillatus	fusiform/normal	60.90000153	saltwater	reef-associated	1	71	protogyny	external	nonguarders
Chlorurus rhakoura	fusiform/normal	44.20000076	saltwater	reef-associated	1	30	dioecism	external	nonguarders
Chlorurus sordidus	fusiform/normal	40	saltwater/brack	reef-associated	0	50	protogyny	external	nonguarders
Chlorurus spilurus	fusiform/normal	48.59999847	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Chlorurus strongylocephalus	fusiform/normal	70	saltwater	reef-associated	2	35	dioecism	external	nonguarders
Chlorurus troschelii	fusiform/normal	34.59999847	saltwater	reef-associated	5	25	dioecism	external	nonguarders
Choerodon anchorago	fusiform/normal	50	saltwater	reef-associated	1	25	dioecism	external	nonguarders
Choerodon cauteroma	shortand/ordeep	36	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Choerodon cephalotes	fusiform/normal	38	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Choerodon cyanodus	fusiform/normal	70	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Choerodon fasciatus	fusiform/normal	30	saltwater	reef-associated	5	35	dioecism	external	nonguarders
Choerodon gomoni	fusiform/normal	10.30000019	saltwater	demersal	NA	82	dioecism	external	nonguarders
Choerodon graphicus	shortand/ordeep	51.5	saltwater	reef-associated	15	40	dioecism	external	nonguarders
Choerodon gymnogenys	fusiform/normal	20	saltwater	reef-associated	NA	NA	dioecism	external	nonguarders
Choerodon jordani	fusiform/normal	17	saltwater	reef-associated	15	30	dioecism	external	nonguarders
Choerodon margaritiferus	fusiform/normal	11	saltwater	demersal	NA	72	dioecism	external	nonguarders
Choerodon monostigma	fusiform/normal	25	saltwater	demersal	10	40	dioecism	external	nonguarders
Choerodon oligacanthus	fusiform/normal	28.20000076	saltwater	reef-associated	2	15	dioecism	external	nonguarders
Choerodon rubescens	shortand/ordeep	90	saltwater	reef-associated	NA	NA	dioecism	external	NA
Choerodon schoenleinii	fusiform/normal	100	saltwater	reef-associated	10	60	protogyny	external	NA
Choerodon venustus	fusiform/normal	65	saltwater	reef-associated	NA	NA	dioecism	external	NA
Choerodon vitta	fusiform/normal	20	saltwater	demersal	10	40	dioecism	external	NA
Choerodon zamboangae	fusiform/normal	45	saltwater	reef-associated	25	60	dioecism	external	NA
Choeroichthys brachysoma	eel-like	7	saltwater	reef-associated	2	25	dioecism	inbroodpouchorsimilarstructure	bearers
Choeroichthys latispinosus	eel-like	NA	saltwater	reef-associated	NA	8	dioecism	inbroodpouchorsimilarstructure	bearers
Choeroichthys smithi	eel-like	5	saltwater	demersal	NA	NA	dioecism	inbroodpouchorsimilarstructure	bearers
Choridactylus natalensis	elongated	14	saltwater	demersal	35	75	NA	NA	NA
Chriodorus atherinoides	elongated	26	saltwater/brack/fresh	pelagic-neritic	0	NA	NA	NA	NA
Chriolepis atrimelum	fusiform/normal	NA	saltwater	demersal	137	146	NA	NA	NA
Chriolepis dialepta	elongated	NA	saltwater	demersal	NA	NA	NA	NA	NA
Chriolepis fisheri	fusiform/normal	2.5	saltwater	reef-associated	NA	82	NA	NA	NA
Chriolepis roosevelti	Elongated	6.099999905	saltwater	reef-associated	NA	NA	NA	NA	NA
Chrionema chryseres	elongated	21	saltwater	bathydemersal	335	490	NA	NA	NA
Chromis abyssicola	fusiform/normal	12.5	saltwater	reef-associated	90	152	dioecism	external	guarders
Chromis alpha	shortand/ordeep	8.5	saltwater	reef-associated	12	95	dioecism	external	guarders
Chromis alta	shortand/ordeep	13	saltwater	reef-associated	30	150	dioecism	external	guarders
Chromis analis	shortand/ordeep	17	saltwater	reef-associated	10	144	dioecism	external	guarders
Chromis atripectoralis	shortand/ordeep	12	saltwater	reef-associated	1	29	dioecism	external	guarders
Chromis chromis	fusiform/normal	25	saltwater	reef-associated	2	40	dioecism	external	guarders
Chromis chrysura	shortand/ordeep	14	saltwater	reef-associated	6	45	dioecism	external	guarders
Chromis cinerascens	fusiform/normal	13	saltwater	reef-associated	3	15	dioecism	external	guarders
Chromis dasygenys	fusiform/normal	12	saltwater	reef-associated	2	12	dioecism	external	guarders
Chromis flavaxilla	shortand/ordeep	7.199999809	saltwater	reef-associated	0	18	dioecism	external	guarders
Chromis flavomaculata	fusiform/normal	16	saltwater	reef-associated	6	40	dioecism	external	guarders
Chromis fumea	fusiform/normal	9.479999542	saltwater	reef-associated	3	30	dioecism	external	guarders
Chromis hangganan	shortand/ordeep	5.78000021	saltwater	reef-associated	90	130	NA	NA	NA
Chromis hypsilepis	fusiform/normal	16	saltwater	reef-associated	3	46	dioecism	external	guarders
Chromis insolata	fusiform/normal	16	saltwater	reef-associated	20	100	dioecism	external	guarders
Chromis kennensis	shortand/ordeep	NA	saltwater	reef-associated	NA	NA	NA	NA	NA
Chromis limbaughi	shortand/ordeep	11.30000019	saltwater	reef-associated	4	75	dioecism	external	guarders
Chromis mirationis	shortand/ordeep	11	saltwater	reef-associated	40	208	dioecism	external	guarders
Chromis multilineata	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chromis nigroanalis	shortand/ordeep	12	saltwater	reef-associated	20	40	dioecism	external	guarders
Chromis nitida	fusiform/normal	8.899999619	saltwater	reef-associated	2	40	dioecism	external	guarders
Chromis notata	shortand/ordeep	17	saltwater	reef-associated	2	15	dioecism	external	guarders
Chromis opercularis	fusiform/normal	17	saltwater	reef-associated	4	40	dioecism	external	guarders
Chromis pembae	shortand/ordeep	13	saltwater	reef-associated	12	50	dioecism	external	guarders
Chromis scotochiloptera	shortand/ordeep	16	saltwater	reef-associated	2	20	dioecism	external	guarders
Chromis scotti	shortand/ordeep	10	saltwater	reef-associated	15	116	dioecism	external	guarders
Chromis ternatensis	shortand/ordeep	10.5	saltwater	reef-associated	2	36	dioecism	external	guarders
Chromis trialpha	fusiform/normal	6	saltwater	reef-associated	3	50	dioecism	external	guarders
Chromis viridis	shortand/ordeep	10	saltwater	reef-associated	1	20	dioecism	external	guarders
Chromis weberi	fusiform/normal	13.5	saltwater	reef-associated	3	40	dioecism	external	guarders
Chromis westaustralis	fusiform/normal	8.5	saltwater	reef-associated	2	75	dioecism	external	guarders
Chromis woodsi	shortand/ordeep	9.5	saltwater	demersal	50	175	dioecism	external	guarders
Chromis xanthochira	shortand/ordeep	14	saltwater	reef-associated	10	48	dioecism	external	guarders
Chromis xanthura	shortand/ordeep	17	saltwater	reef-associated	3	40	dioecism	external	guarders
Chromis xouthos	shortand/ordeep	9.229999542	saltwater	reef-associated	12	50	dioecism	external	guarders
Chromis xutha	shortand/ordeep	7	saltwater	reef-associated	2	20	dioecism	external	guarders
Chromogobius quadrivittatus	elongated	6.550000191	saltwater	demersal	NA	NA	dioecism	external	NA
Chromogobius zebratus	fusiform/normal	5.300000191	saltwater	demersal	NA	NA	dioecism	external	NA
Chrysiptera annulata	fusiform/normal	8	saltwater	reef-associated	0	2	dioecism	external	guarders
Chrysiptera biocellata	shortand/ordeep	12.5	saltwater	reef-associated	0	5	dioecism	external	guarders
Chrysiptera brownriggii	fusiform/normal	8	saltwater	reef-associated	0	12	dioecism	external	guarders
Chrysiptera caesifrons	shortand/ordeep	4.849999905	saltwater	pelagic-neritic	1	8	NA	NA	NA
Chrysiptera cyanea	fusiform/normal	8.5	saltwater	reef-associated	0	10	dioecism	external	guarders
Chrysiptera flavipinnis	fusiform/normal	8	saltwater	reef-associated	3	38	dioecism	external	guarders
Chrysiptera galba	fusiform/normal	7	saltwater	reef-associated	1	30	dioecism	external	guarders
Chrysiptera glauca	fusiform/normal	11.5	saltwater	reef-associated	0	3	dioecism	external	guarders
Chrysiptera notialis	fusiform/normal	9	saltwater	reef-associated	7	45	dioecism	external	guarders
Chrysiptera oxycephala	shortand/ordeep	9	saltwater/brack	reef-associated	1	16	dioecism	external	guarders
Chrysiptera parasema	fusiform/normal	7	saltwater	reef-associated	1	16	dioecism	external	guarders
Chrysiptera rex	fusiform/normal	7	saltwater	reef-associated	1	20	dioecism	external	guarders
Chrysiptera rollandi	fusiform/normal	7.5	saltwater	reef-associated	2	35	dioecism	external	guarders
Chrysiptera sheila	shortand/ordeep	10.30000019	saltwater	demersal	0	3	dioecism	external	guarders
Chrysiptera springeri	shortand/ordeep	5.5	saltwater	reef-associated	4	30	dioecism	external	guarders
Chrysiptera starcki	fusiform/normal	7	saltwater	reef-associated	20	60	dioecism	external	guarders
Chrysiptera talboti	fusiform/normal	6	saltwater	reef-associated	3	35	dioecism	external	guarders
Chrysiptera taupou	fusiform/normal	8	saltwater	reef-associated	0	10	dioecism	external	guarders
Chrysiptera traceyi	fusiform/normal	4.5	saltwater	reef-associated	5	40	dioecism	external	guarders
Chrysiptera tricincta	fusiform/normal	6	saltwater	reef-associated	10	90	dioecism	external	guarders
Chrysiptera unimaculata	fusiform/normal	10	saltwater	reef-associated	0	3	dioecism	external	guarders
Chrysoblephus anglicus	shortand/ordeep	100	saltwater	reef-associated	20	100	NA	NA	NA
Chrysoblephus cristiceps	shortand/ordeep	75	saltwater	demersal	30	100	protogyny	external	nonguarders
Chrysoblephus gibbiceps	shortand/ordeep	75	saltwater	demersal	20	50	dioecism	external	NA
Chrysoblephus laticeps	shortand/ordeep	50	saltwater	demersal	1	100	protogyny	external	nonguarders
Chrysoblephus lophus	shortand/ordeep	50	saltwater	demersal	NA	150	NA	NA	NA
Chrysoblephus puniceus	shortand/ordeep	85	saltwater	demersal	10	100	protogyny	external	nonguarders
Chrysochir aureus	elongated	30	saltwater/brack	benthopelagic	NA	NA	NA	NA	NA
Cichla ocellaris	fusiform/normal	74	brack/fresh	benthopelagic	5	NA	dioecism	external	guarders
Ciliata mustela	elongated	25	saltwater	demersal	17	22	dioecism	external	nonguarders
Ciliata septentrionalis	elongated	20	saltwater/brack	demersal	10	90	dioecism	external	nonguarders
Cirrhigaleus asper	elongated	120	saltwater	bathydemersal	200	650	dioecism	internal(oviduct)	bearers
Cirrhilabrus bathyphilus	fusiform/normal	7.599999905	saltwater	reef-associated	60	217	dioecism	external	NA
Cirrhilabrus cyanopleura	fusiform/normal	15	saltwater	reef-associated	2	30	dioecism	external	NA
Cirrhilabrus exquisitus	fusiform/normal	12	saltwater	reef-associated	6	40	dioecism	external	NA
Cirrhilabrus laboutei	fusiform/normal	12	saltwater	reef-associated	7	55	dioecism	external	NA
Cirrhilabrus lineatus	fusiform/normal	12	saltwater	reef-associated	1	55	dioecism	external	NA
Cirrhilabrus lubbocki	fusiform/normal	8	saltwater	reef-associated	4	45	dioecism	external	NA
Cirrhilabrus punctatus	fusiform/normal	13	saltwater	reef-associated	2	78	dioecism	external	NA
Cirrhilabrus randalli	fusiform/normal	8.449999809	saltwater	reef-associated	10	40	dioecism	external	NA
Cirrhilabrus roseafascia	fusiform/normal	10	saltwater	reef-associated	30	100	dioecism	external	NA
Cirrhilabrus rubriventralis	fusiform/normal	7.5	saltwater	reef-associated	3	43	dioecism	external	NA
Cirrhilabrus ryukyuensis	fusiform/normal	NA	saltwater	reef-associated	NA	NA	NA	NA	NA
Cirrhilabrus temminckii	fusiform/normal	9.899999619	saltwater	reef-associated	3	35	protogyny	external	nonguarders
Cirrhilabrus wakanda	elongated	7.03000021	saltwater	pelagic-neritic	50	80	NA	NA	NA
Cirrhimuraena calamus	eel-like	NA	saltwater	demersal	NA	NA	NA	NA	NA
Cirrhimuraena playfairii	eel-like	39	saltwater	demersal	NA	NA	NA	NA	NA
Cirrhitichthys aprinus	shortand/ordeep	12.5	saltwater/brack	reef-associated	5	40	protogyny	external	nonguarders
Cirrhitichthys calliurus	fusiform/normal	12	saltwater	reef-associated	15	30	NA	NA	NA
Cirrhitichthys falco	shortand/ordeep	7	saltwater	reef-associated	4	46	protogyny	external	nonguarders
Cirrhitichthys guichenoti	shortand/ordeep	12	saltwater	reef-associated	0	50	NA	NA	NA
Cirrhitichthys oxycephalus	shortand/ordeep	10	saltwater	reef-associated	1	40	protogyny	external	nonguarders
Cirrhitus pinnulatus	fusiform/normal	30	saltwater	reef-associated	0	23	protogyny	external	nonguarders
Cirrhitus rivulatus	fusiform/normal	60	saltwater	reef-associated	5	23	NA	NA	NA
Cirrimaxilla formosa	eel-like	NA	saltwater	demersal	0	5	NA	NA	NA
Cirripectes alboapicalis	elongated	15.5	saltwater	reef-associated	0	10	dioecism	external	guarders
Cirripectes auritus	elongated	7.099999905	saltwater	reef-associated	0	20	dioecism	external	guarders
Cirripectes castaneus	elongated	9.199999809	saltwater/brack	reef-associated	0	32	dioecism	external	guarders
Cirripectes chelomatus	elongated	9.399999619	saltwater	reef-associated	0	16	dioecism	external	guarders
Cirripectes filamentosus	elongated	7.5	saltwater	reef-associated	0	20	dioecism	external	guarders
Cirripectes fuscoguttatus	fusiform/normal	10.60000038	saltwater	reef-associated	0	8	dioecism	external	guarders
Cirripectes gilberti	fusiform/normal	10.19999981	saltwater	reef-associated	0	8	dioecism	external	guarders
Cirripectes heemstraorum	fusiform/normal	4.849999905	saltwater	reef-associated	1	17	dioecism	external	guarders
Cirripectes hutchinsi	fusiform/normal	10.60000038	saltwater	reef-associated	1	22	dioecism	external	guarders
Cirripectes obscurus	fusiform/normal	13.39999962	saltwater	reef-associated	0	6	dioecism	external	guarders
Cirripectes polyzona	elongated	13	saltwater	reef-associated	0	20	dioecism	external	guarders
Cirripectes quagga	elongated	10	saltwater	reef-associated	0	19	dioecism	external	guarders
Cirripectes stigmaticus	elongated	10	saltwater	reef-associated	0	20	dioecism	external	guarders
Cirripectes variolosus	fusiform/normal	8.899999619	saltwater	reef-associated	0	31	dioecism	external	guarders
Citharichthys cornutus	shortand/ordeep	10	saltwater	bathydemersal	30	400	dioecism	external	nonguarders
Citharichthys gilberti	shortand/ordeep	27.89999962	saltwater/brack/fresh	demersal	NA	36	dioecism	external	nonguarders
Citharichthys macrops	shortand/ordeep	20	saltwater	reef-associated	0	100	dioecism	external	nonguarders
Citharichthys mariajorisae	shortand/ordeep	12.39000034	saltwater	demersal	20	NA	dioecism	external	nonguarders
